"Id","ProcessName","Path","StartTime"
"5940","agent","C:\Users\gMSA_ADFS_prod$\Documents\agent.exe","3/2/2026 6:02:54 AM"
"2876","certsrv","C:\Windows\system32\certsrv.exe","3/2/2026 2:37:34 AM"
"5444","conhost","C:\Windows\system32\conhost.exe","3/2/2026 6:02:54 AM"
"428","csrss",,"3/2/2026 2:37:12 AM"
"544","csrss",,"3/2/2026 2:37:12 AM"
"5464","ctfmon","C:\Windows\system32\ctfmon.exe","3/2/2026 2:37:59 AM"
"2960","dfsrs","C:\Windows\system32\DFSRs.exe","3/2/2026 2:37:34 AM"
"2408","dfssvc","C:\Windows\system32\dfssvc.exe","3/2/2026 2:37:34 AM"
"3672","dllhost","C:\Windows\system32\dllhost.exe","3/2/2026 2:37:35 AM"
"2988","dns","C:\Windows\system32\dns.exe","3/2/2026 2:37:34 AM"
"1192","dwm","C:\Windows\system32\dwm.exe","3/2/2026 2:37:15 AM"
"5844","explorer","C:\Windows\Explorer.EXE","3/2/2026 2:38:02 AM"
"2752","fontdrvhost","C:\Windows\system32\fontdrvhost.exe","3/2/2026 2:37:34 AM"
"2760","fontdrvhost","C:\Windows\system32\fontdrvhost.exe","3/2/2026 2:37:34 AM"
"2544","hgEuyJcF","C:\Windows\hgEuyJcF.exe","3/2/2026 7:08:28 AM"
"0","Idle",,
"2968","ismserv","C:\Windows\System32\ismserv.exe","3/2/2026 2:37:34 AM"
"396","LogonUI","C:\Windows\system32\LogonUI.exe","3/2/2026 2:48:32 AM"
"680","LsaIso",,"3/2/2026 2:37:12 AM"
"700","lsass","C:\Windows\system32\lsass.exe","3/2/2026 2:37:12 AM"
"2928","Microsoft.ActiveDirectory.WebServices","C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe","3/2/2026 2:37:34 AM"
"4020","msdtc","C:\Windows\System32\msdtc.exe","3/2/2026 2:37:35 AM"
"3064","ozcwRPxH","C:\Windows\ozcwRPxH.exe","3/2/2026 7:26:52 AM"
"2072","persist","C:\Users\Administrator\Desktop\persist.exe","3/2/2026 7:25:46 AM"
"92","Registry",,"3/2/2026 2:37:07 AM"
"64","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","3/2/2026 2:38:20 AM"
"4556","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","3/2/2026 2:38:19 AM"
"6100","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","3/2/2026 2:38:18 AM"
"4852","SearchUI","C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe","3/2/2026 2:38:18 AM"
"48","Secure System",,"3/2/2026 2:37:07 AM"
"672","services",,"3/2/2026 2:37:12 AM"
"5700","ShellExperienceHost","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","3/2/2026 2:38:17 AM"
"72","sihost","C:\Windows\system32\sihost.exe","3/2/2026 2:37:58 AM"
"308","smss",,"3/2/2026 2:37:10 AM"
"2840","spoolsv","C:\Windows\System32\spoolsv.exe","3/2/2026 2:37:34 AM"
"376","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:15 AM"
"532","svchost","C:\Windows\System32\svchost.exe","3/2/2026 2:37:15 AM"
"708","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:15 AM"
"904","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:14 AM"
"920","svchost","C:\Windows\System32\svchost.exe","3/2/2026 2:37:15 AM"
"924","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:14 AM"
"968","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:14 AM"
"1012","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:14 AM"
"1032","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:15 AM"
"1040","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:15 AM"
"1092","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:15 AM"
"1132","svchost","C:\Windows\System32\svchost.exe","3/2/2026 2:47:34 AM"
"1236","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:15 AM"
"1332","svchost","C:\Windows\System32\svchost.exe","3/2/2026 2:37:15 AM"
"1392","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:15 AM"
"1400","svchost","C:\Windows\System32\svchost.exe","3/2/2026 2:37:15 AM"
"1412","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:15 AM"
"1428","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:15 AM"
"1480","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:15 AM"
"1524","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:15 AM"
"1572","svchost","C:\Windows\system32\svchost.exe","3/2/2026 3:03:10 AM"
"1588","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:15 AM"
"1604","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:15 AM"
"1652","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:15 AM"
"1668","svchost","C:\Windows\System32\svchost.exe","3/2/2026 2:37:15 AM"
"1676","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:15 AM"
"1732","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:15 AM"
"1792","svchost","C:\Windows\System32\svchost.exe","3/2/2026 2:37:15 AM"
"1880","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:16 AM"
"1912","svchost","C:\Windows\System32\svchost.exe","3/2/2026 2:37:16 AM"
"1984","svchost","C:\Windows\System32\svchost.exe","3/2/2026 2:37:16 AM"
"2104","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:34 AM"
"2224","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:16 AM"
"2256","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:16 AM"
"2460","svchost","C:\Windows\System32\svchost.exe","3/2/2026 2:37:34 AM"
"2536","svchost","C:\Windows\System32\svchost.exe","3/2/2026 2:37:24 AM"
"2688","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:34 AM"
"2888","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:34 AM"
"2936","svchost","C:\Windows\System32\svchost.exe","3/2/2026 2:37:34 AM"
"3012","svchost","C:\Windows\System32\svchost.exe","3/2/2026 2:37:34 AM"
"3036","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:34 AM"
"4060","svchost","C:\Windows\System32\svchost.exe","3/2/2026 2:47:33 AM"
"4596","svchost","C:\Windows\System32\svchost.exe","3/2/2026 2:37:46 AM"
"4828","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:58 AM"
"5144","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:58 AM"
"5288","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:59 AM"
"5372","svchost","C:\Windows\System32\svchost.exe","3/2/2026 2:37:59 AM"
"5436","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:59 AM"
"5524","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:37:59 AM"
"5792","svchost","C:\Windows\System32\svchost.exe","3/2/2026 2:48:35 AM"
"6644","svchost","C:\Windows\System32\svchost.exe","3/2/2026 2:39:46 AM"
"6728","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:39:47 AM"
"6904","svchost","C:\Windows\system32\svchost.exe","3/2/2026 2:39:49 AM"
"4","System",,"3/2/2026 2:37:10 AM"
"5192","taskhostw","C:\Windows\system32\taskhostw.exe","3/2/2026 2:37:58 AM"
"3460","vds","C:\Windows\System32\vds.exe","3/2/2026 2:37:34 AM"
"1452","VGAuthService","C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe","3/2/2026 2:37:34 AM"
