TimeCreated,EventID,Provider,Computer,Channel,EventData
2025-06-08T16:46:47.255893Z,1008,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T16:46:48.786654Z,1002,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T16:46:48.786654Z,1004,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T16:46:48.800276Z,1314,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""C:\\Windows\\debug""}, ""Binary"": null}"
2025-06-08T16:46:49.940889Z,6102,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T16:46:50.972043Z,1206,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""DC01.pirate.htb""}, ""Binary"": null}"
2025-06-08T16:46:50.988093Z,1210,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""0""}, ""Binary"": null}"
2025-06-08T16:46:51.054692Z,4602,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": [""F6B08333-823D-4BAA-B870-B7A875756FC4"", ""C:\\Windows\\SYSVOL\\domain"", ""SYSVOL Share"", ""Domain System Volume"", ""DF878E87-D7A9-4212-8588-8A87039A4451"", ""4E666036-EB9F-4D54-A780-3646E069FE74"", """", ""0""]}, ""Binary"": null}"
2025-06-08T17:02:25.608874Z,1006,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T17:02:25.716845Z,1008,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T17:02:26.623555Z,1002,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T17:02:26.623555Z,1004,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T17:02:26.638951Z,1314,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""C:\\Windows\\debug""}, ""Binary"": null}"
2025-06-08T17:02:27.749402Z,6102,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T17:02:28.765244Z,1206,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""DC01.pirate.htb""}, ""Binary"": null}"
2025-06-08T17:02:28.795067Z,1210,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""0""}, ""Binary"": null}"
2025-06-08T17:02:28.874181Z,4602,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": [""F6B08333-823D-4BAA-B870-B7A875756FC4"", ""C:\\Windows\\SYSVOL\\domain"", ""SYSVOL Share"", ""Domain System Volume"", ""DF878E87-D7A9-4212-8588-8A87039A4451"", ""4E666036-EB9F-4D54-A780-3646E069FE74"", """", ""0""]}, ""Binary"": null}"
2025-06-08T19:29:02.751230Z,1006,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T19:29:03.094985Z,1008,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T19:29:04.784203Z,1002,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T19:29:04.784203Z,1004,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T19:29:04.798504Z,1314,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""C:\\Windows\\debug""}, ""Binary"": null}"
2025-06-08T19:29:05.892321Z,6102,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T19:29:06.907472Z,1206,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""DC01.pirate.htb""}, ""Binary"": null}"
2025-06-08T19:29:06.923506Z,1210,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""0""}, ""Binary"": null}"
