"@timestamp","@version","_id","_ignored","_index","_score","agent.ephemeral_id","agent.ephemeral_id.keyword","agent.id","agent.id.keyword","agent.name","agent.name.keyword","agent.type","agent.type.keyword","agent.version","agent.version.keyword","ecs.version","ecs.version.keyword","event.original","event.original.keyword","input.type","input.type.keyword","labels.type","labels.type.keyword","log.file.device_id","log.file.fingerprint","log.file.fingerprint.keyword","log.file.inode","log.file.path","log.file.path.keyword","log.offset","log.syslog.appname","log.syslog.appname.keyword","log.syslog.hostname","log.syslog.hostname.keyword",message,"message.keyword","sof-elk.base_index","sof-elk.path","sof-elk.processing_time",tags,"tags.keyword"
"2026-02-15 09:05:00.084 +00:00",1,"6LiLYJwBPp_eA8-q82QB","event.original.keyword, message.keyword","logstash-2026.02","-","f0f5d1fe-281f-47c3-b5bf-efedfc929f60","f0f5d1fe-281f-47c3-b5bf-efedfc929f60","ece913e0-ebed-4674-b6b2-e5a772b6637b","ece913e0-ebed-4674-b6b2-e5a772b6637b","sof-elk","sof-elk",filebeat,filebeat,"9.1.5","9.1.5","8.0.0","8.0.0","type=SYSCALL msg=audit(1770647863.631:10098): arch=c000003e syscall=59 success=yes exit=0 a0=558d6517c430 a1=558d65179a20 a2=558d6517c348 a3=0 items=3 ppid=10444 pid=12496 auid=1001 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=1 comm=""readlink"" exe=""/usr/bin/readlink"" subj=unconfined key=""rootcmd""ARCH=x86_64 SYSCALL=execve AUID=""wacky"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""","type=SYSCALL msg=audit(1770647863.631:10098): arch=c000003e syscall=59 success=yes exit=0 a0=558d6517c430 a1=558d65179a20 a2=558d6517c348 a3=0 items=3 ppid=10444 pid=12496 auid=1001 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=1 comm=""readlink"" exe=""/usr/bin/readlink"" subj=unconfined key=""rootcmd""ARCH=x86_64 SYSCALL=execve AUID=""wacky"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",filestream,filestream,syslog,syslog,"64,513",c936c36005a2db110eb9523dc75d0a8693b66473d4a98ee55fcbf02681e4b57d,c936c36005a2db110eb9523dc75d0a8693b66473d4a98ee55fcbf02681e4b57d,"5,636,120","/logstash/syslog/audit.log.2","/logstash/syslog/audit.log.2","8,342,353","=syscall","=syscall",type,type,"msg=audit(1770647863.631:10098): arch=c000003e syscall=59 success=yes exit=0 a0=558d6517c430 a1=558d65179a20 a2=558d6517c348 a3=0 items=3 ppid=10444 pid=12496 auid=1001 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=1 comm=""readlink"" exe=""/usr/bin/readlink"" subj=unconfined key=""rootcmd""ARCH=x86_64 SYSCALL=execve AUID=""wacky"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""","msg=audit(1770647863.631:10098): arch=c000003e syscall=59 success=yes exit=0 a0=558d6517c430 a1=558d65179a20 a2=558d6517c348 a3=0 items=3 ppid=10444 pid=12496 auid=1001 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=1 comm=""readlink"" exe=""/usr/bin/readlink"" subj=unconfined key=""rootcmd""ARCH=x86_64 SYSCALL=execve AUID=""wacky"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",logstash,"filebeat: /logstash/syslog/audit.log.2","0.142","process_archive, filebeat, beats_input_codec_plain_applied, _grokparsefailure_1100-01, _grokparsefail_6018-01","process_archive, filebeat, beats_input_codec_plain_applied, _grokparsefailure_1100-01, _grokparsefail_6018-01"
"2026-02-15 09:05:00.084 +00:00",1,"7riLYJwBPp_eA8-q82QB","-","logstash-2026.02","-","f0f5d1fe-281f-47c3-b5bf-efedfc929f60","f0f5d1fe-281f-47c3-b5bf-efedfc929f60","ece913e0-ebed-4674-b6b2-e5a772b6637b","ece913e0-ebed-4674-b6b2-e5a772b6637b","sof-elk","sof-elk",filebeat,filebeat,"9.1.5","9.1.5","8.0.0","8.0.0","type=PROCTITLE msg=audit(1770647863.631:10098): proctitle=726561646C696E6B002D66002F62696E","type=PROCTITLE msg=audit(1770647863.631:10098): proctitle=726561646C696E6B002D66002F62696E",filestream,filestream,syslog,syslog,"64,513",c936c36005a2db110eb9523dc75d0a8693b66473d4a98ee55fcbf02681e4b57d,c936c36005a2db110eb9523dc75d0a8693b66473d4a98ee55fcbf02681e4b57d,"5,636,120","/logstash/syslog/audit.log.2","/logstash/syslog/audit.log.2","8,343,647","=proctitle","=proctitle",type,type,"msg=audit(1770647863.631:10098): proctitle=726561646C696E6B002D66002F62696E","msg=audit(1770647863.631:10098): proctitle=726561646C696E6B002D66002F62696E",logstash,"filebeat: /logstash/syslog/audit.log.2","0.142","process_archive, filebeat, beats_input_codec_plain_applied, _grokparsefailure_1100-01, _grokparsefail_6018-01","process_archive, filebeat, beats_input_codec_plain_applied, _grokparsefailure_1100-01, _grokparsefail_6018-01"
"2026-02-15 09:05:00.084 +00:00",1,"6biLYJwBPp_eA8-q82QB","-","logstash-2026.02","-","f0f5d1fe-281f-47c3-b5bf-efedfc929f60","f0f5d1fe-281f-47c3-b5bf-efedfc929f60","ece913e0-ebed-4674-b6b2-e5a772b6637b","ece913e0-ebed-4674-b6b2-e5a772b6637b","sof-elk","sof-elk",filebeat,filebeat,"9.1.5","9.1.5","8.0.0","8.0.0","type=EXECVE msg=audit(1770647863.631:10098): argc=3 a0=""readlink"" a1=""-f"" a2=""/bin""","type=EXECVE msg=audit(1770647863.631:10098): argc=3 a0=""readlink"" a1=""-f"" a2=""/bin""",filestream,filestream,syslog,syslog,"64,513",c936c36005a2db110eb9523dc75d0a8693b66473d4a98ee55fcbf02681e4b57d,c936c36005a2db110eb9523dc75d0a8693b66473d4a98ee55fcbf02681e4b57d,"5,636,120","/logstash/syslog/audit.log.2","/logstash/syslog/audit.log.2","8,342,812","=execve","=execve",type,type,"msg=audit(1770647863.631:10098): argc=3 a0=""readlink"" a1=""-f"" a2=""/bin""","msg=audit(1770647863.631:10098): argc=3 a0=""readlink"" a1=""-f"" a2=""/bin""",logstash,"filebeat: /logstash/syslog/audit.log.2","0.142","process_archive, filebeat, beats_input_codec_plain_applied, _grokparsefailure_1100-01, _grokparsefail_6018-01","process_archive, filebeat, beats_input_codec_plain_applied, _grokparsefailure_1100-01, _grokparsefail_6018-01"
"2026-02-15 09:05:00.084 +00:00",1,"6riLYJwBPp_eA8-q82QB","-","logstash-2026.02","-","f0f5d1fe-281f-47c3-b5bf-efedfc929f60","f0f5d1fe-281f-47c3-b5bf-efedfc929f60","ece913e0-ebed-4674-b6b2-e5a772b6637b","ece913e0-ebed-4674-b6b2-e5a772b6637b","sof-elk","sof-elk",filebeat,filebeat,"9.1.5","9.1.5","8.0.0","8.0.0","type=CWD msg=audit(1770647863.631:10098): cwd=""/home/wacky""","type=CWD msg=audit(1770647863.631:10098): cwd=""/home/wacky""",filestream,filestream,syslog,syslog,"64,513",c936c36005a2db110eb9523dc75d0a8693b66473d4a98ee55fcbf02681e4b57d,c936c36005a2db110eb9523dc75d0a8693b66473d4a98ee55fcbf02681e4b57d,"5,636,120","/logstash/syslog/audit.log.2","/logstash/syslog/audit.log.2","8,342,896","=cwd","=cwd",type,type,"msg=audit(1770647863.631:10098): cwd=""/home/wacky""","msg=audit(1770647863.631:10098): cwd=""/home/wacky""",logstash,"filebeat: /logstash/syslog/audit.log.2","0.142","process_archive, filebeat, beats_input_codec_plain_applied, _grokparsefailure_1100-01, _grokparsefail_6018-01","process_archive, filebeat, beats_input_codec_plain_applied, _grokparsefailure_1100-01, _grokparsefail_6018-01"
"2026-02-15 09:05:00.084 +00:00",1,"67iLYJwBPp_eA8-q82QB","-","logstash-2026.02","-","f0f5d1fe-281f-47c3-b5bf-efedfc929f60","f0f5d1fe-281f-47c3-b5bf-efedfc929f60","ece913e0-ebed-4674-b6b2-e5a772b6637b","ece913e0-ebed-4674-b6b2-e5a772b6637b","sof-elk","sof-elk",filebeat,filebeat,"9.1.5","9.1.5","8.0.0","8.0.0","type=PATH msg=audit(1770647863.631:10098): item=0 name=""/usr/bin/readlink"" inode=12815 dev=08:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""","type=PATH msg=audit(1770647863.631:10098): item=0 name=""/usr/bin/readlink"" inode=12815 dev=08:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",filestream,filestream,syslog,syslog,"64,513",c936c36005a2db110eb9523dc75d0a8693b66473d4a98ee55fcbf02681e4b57d,c936c36005a2db110eb9523dc75d0a8693b66473d4a98ee55fcbf02681e4b57d,"5,636,120","/logstash/syslog/audit.log.2","/logstash/syslog/audit.log.2","8,342,956","=path","=path",type,type,"msg=audit(1770647863.631:10098): item=0 name=""/usr/bin/readlink"" inode=12815 dev=08:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""","msg=audit(1770647863.631:10098): item=0 name=""/usr/bin/readlink"" inode=12815 dev=08:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",logstash,"filebeat: /logstash/syslog/audit.log.2","0.142","process_archive, filebeat, beats_input_codec_plain_applied, _grokparsefailure_1100-01, _grokparsefail_6018-01","process_archive, filebeat, beats_input_codec_plain_applied, _grokparsefailure_1100-01, _grokparsefail_6018-01"
"2026-02-15 09:05:00.084 +00:00",1,"7LiLYJwBPp_eA8-q82QB","-","logstash-2026.02","-","f0f5d1fe-281f-47c3-b5bf-efedfc929f60","f0f5d1fe-281f-47c3-b5bf-efedfc929f60","ece913e0-ebed-4674-b6b2-e5a772b6637b","ece913e0-ebed-4674-b6b2-e5a772b6637b","sof-elk","sof-elk",filebeat,filebeat,"9.1.5","9.1.5","8.0.0","8.0.0","type=PATH msg=audit(1770647863.631:10098): item=1 name=""/usr/bin/readlink"" inode=12815 dev=08:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""","type=PATH msg=audit(1770647863.631:10098): item=1 name=""/usr/bin/readlink"" inode=12815 dev=08:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",filestream,filestream,syslog,syslog,"64,513",c936c36005a2db110eb9523dc75d0a8693b66473d4a98ee55fcbf02681e4b57d,c936c36005a2db110eb9523dc75d0a8693b66473d4a98ee55fcbf02681e4b57d,"5,636,120","/logstash/syslog/audit.log.2","/logstash/syslog/audit.log.2","8,343,183","=path","=path",type,type,"msg=audit(1770647863.631:10098): item=1 name=""/usr/bin/readlink"" inode=12815 dev=08:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""","msg=audit(1770647863.631:10098): item=1 name=""/usr/bin/readlink"" inode=12815 dev=08:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",logstash,"filebeat: /logstash/syslog/audit.log.2","0.142","process_archive, filebeat, beats_input_codec_plain_applied, _grokparsefailure_1100-01, _grokparsefail_6018-01","process_archive, filebeat, beats_input_codec_plain_applied, _grokparsefailure_1100-01, _grokparsefail_6018-01"
"2026-02-15 09:05:00.084 +00:00",1,"7biLYJwBPp_eA8-q82QB","-","logstash-2026.02","-","f0f5d1fe-281f-47c3-b5bf-efedfc929f60","f0f5d1fe-281f-47c3-b5bf-efedfc929f60","ece913e0-ebed-4674-b6b2-e5a772b6637b","ece913e0-ebed-4674-b6b2-e5a772b6637b","sof-elk","sof-elk",filebeat,filebeat,"9.1.5","9.1.5","8.0.0","8.0.0","type=PATH msg=audit(1770647863.631:10098): item=2 name=""/lib64/ld-linux-x86-64.so.2"" inode=11194 dev=08:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""","type=PATH msg=audit(1770647863.631:10098): item=2 name=""/lib64/ld-linux-x86-64.so.2"" inode=11194 dev=08:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",filestream,filestream,syslog,syslog,"64,513",c936c36005a2db110eb9523dc75d0a8693b66473d4a98ee55fcbf02681e4b57d,c936c36005a2db110eb9523dc75d0a8693b66473d4a98ee55fcbf02681e4b57d,"5,636,120","/logstash/syslog/audit.log.2","/logstash/syslog/audit.log.2","8,343,410","=path","=path",type,type,"msg=audit(1770647863.631:10098): item=2 name=""/lib64/ld-linux-x86-64.so.2"" inode=11194 dev=08:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""","msg=audit(1770647863.631:10098): item=2 name=""/lib64/ld-linux-x86-64.so.2"" inode=11194 dev=08:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",logstash,"filebeat: /logstash/syslog/audit.log.2","0.142","process_archive, filebeat, beats_input_codec_plain_applied, _grokparsefailure_1100-01, _grokparsefail_6018-01","process_archive, filebeat, beats_input_codec_plain_applied, _grokparsefailure_1100-01, _grokparsefail_6018-01"
"2026-02-15 09:04:45.432 +00:00",1,"QreLYJwBPp_eA8-qlLT8","event.original.keyword, message.keyword","logstash-2026.02","-","f0f5d1fe-281f-47c3-b5bf-efedfc929f60","f0f5d1fe-281f-47c3-b5bf-efedfc929f60","ece913e0-ebed-4674-b6b2-e5a772b6637b","ece913e0-ebed-4674-b6b2-e5a772b6637b","sof-elk","sof-elk",filebeat,filebeat,"9.1.5","9.1.5","8.0.0","8.0.0","type=SYSCALL msg=audit(1770647856.651:7584): arch=c000003e syscall=59 success=yes exit=0 a0=558d6515cd50 a1=558d65170e80 a2=558d6515cc68 a3=0 items=3 ppid=6816 pid=10098 auid=1001 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=1 comm=""realpath"" exe=""/usr/bin/realpath"" subj=unconfined key=""rootcmd""ARCH=x86_64 SYSCALL=execve AUID=""wacky"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""","type=SYSCALL msg=audit(1770647856.651:7584): arch=c000003e syscall=59 success=yes exit=0 a0=558d6515cd50 a1=558d65170e80 a2=558d6515cc68 a3=0 items=3 ppid=6816 pid=10098 auid=1001 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=1 comm=""realpath"" exe=""/usr/bin/realpath"" subj=unconfined key=""rootcmd""ARCH=x86_64 SYSCALL=execve AUID=""wacky"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",filestream,filestream,syslog,syslog,"64,513",c936c36005a2db110eb9523dc75d0a8693b66473d4a98ee55fcbf02681e4b57d,c936c36005a2db110eb9523dc75d0a8693b66473d4a98ee55fcbf02681e4b57d,"5,636,120","/logstash/syslog/audit.log.2","/logstash/syslog/audit.log.2","4,620,480","=syscall","=syscall",type,type,"msg=audit(1770647856.651:7584): arch=c000003e syscall=59 success=yes exit=0 a0=558d6515cd50 a1=558d65170e80 a2=558d6515cc68 a3=0 items=3 ppid=6816 pid=10098 auid=1001 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=1 comm=""realpath"" exe=""/usr/bin/realpath"" subj=unconfined key=""rootcmd""ARCH=x86_64 SYSCALL=execve AUID=""wacky"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""","msg=audit(1770647856.651:7584): arch=c000003e syscall=59 success=yes exit=0 a0=558d6515cd50 a1=558d65170e80 a2=558d6515cc68 a3=0 items=3 ppid=6816 pid=10098 auid=1001 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts1 ses=1 comm=""realpath"" exe=""/usr/bin/realpath"" subj=unconfined key=""rootcmd""ARCH=x86_64 SYSCALL=execve AUID=""wacky"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",logstash,"filebeat: /logstash/syslog/audit.log.2","0.105","process_archive, filebeat, beats_input_codec_plain_applied, _grokparsefailure_1100-01, _grokparsefail_6018-01","process_archive, filebeat, beats_input_codec_plain_applied, _grokparsefailure_1100-01, _grokparsefail_6018-01"
