"No.","Time","Source","Destination","Protocol","Length","Info"
"425","52.013021209","10.10.16.36","10.129.93.181","HTTP","1036","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"429","52.936185725","10.129.93.181","10.10.16.36","HTTP","1276","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"438","58.035602258","10.10.16.36","10.129.93.181","HTTP","741","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"443","58.358162310","10.129.93.181","10.10.16.36","HTTP","1366","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"448","58.362499344","10.10.16.36","10.129.93.181","HTTP","1082","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"450","58.645325179","10.129.93.181","10.10.16.36","HTTP","419","POST /Pirate HTTP/1.1 "
"453","58.687574030","10.10.16.36","10.129.93.181","HTTP","204","HTTP/1.1 200 OK  (text/plain)"
"455","58.937446904","10.129.93.181","10.10.16.36","HTTP","367","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"458","58.942525212","10.10.16.36","10.129.93.181","HTTP","1036","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"462","60.071151767","10.129.93.181","10.10.16.36","HTTP","1276","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"470","60.077113814","10.10.16.36","10.129.93.181","HTTP","753","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"478","61.448315813","10.129.93.181","10.10.16.36","HTTP","1366","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"483","61.452281895","10.10.16.36","10.129.93.181","HTTP","1082","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"486","61.963018887","10.129.93.181","10.10.16.36","HTTP","595","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"489","61.967375187","10.10.16.36","10.129.93.181","HTTP","1036","POST /wsman HTTP/1.1  (application/http-spnego-session-encrypted)"
"491","63.482469387","10.129.93.181","10.10.16.36","HTTP","1276","HTTP/1.1 200   (application/http-spnego-session-encrypted)"
"492","63.482488052","10.129.93.181","10.10.16.36","HTTP","419","POST /Pirate HTTP/1.1 "
"494","63.496862750","10.10.16.36","10.129.93.181","HTTP","204","HTTP/1.1 200 OK  (text/plain)"
"501","67.860329000","10.129.93.181","10.10.16.36","HTTP","419","POST /Pirate HTTP/1.1 "
"503","67.870608875","10.10.16.36","10.129.93.181","HTTP","204","HTTP/1.1 200 OK  (text/plain)"
"505","73.048897700","10.129.93.181","10.10.16.36","HTTP","419","POST /Pirate HTTP/1.1 "
"508","73.065076695","10.10.16.36","10.129.93.181","HTTP","204","HTTP/1.1 200 OK  (text/plain)"
"512","77.352312034","10.129.93.181","10.10.16.36","HTTP","419","POST /Pirate HTTP/1.1 "
"514","77.420305732","10.10.16.36","10.129.93.181","HTTP","204","HTTP/1.1 200 OK  (text/plain)"
"516","81.987902246","10.129.93.181","10.10.16.36","HTTP","419","POST /Pirate HTTP/1.1 "
"518","82.000724777","10.10.16.36","10.129.93.181","HTTP","204","HTTP/1.1 200 OK  (text/plain)"
"526","86.669478853","10.129.93.181","10.10.16.36","HTTP","419","POST /Pirate HTTP/1.1 "
"528","86.716226420","10.10.16.36","10.129.93.181","HTTP","204","HTTP/1.1 200 OK  (text/plain)"
"530","90.998623107","10.129.93.181","10.10.16.36","HTTP","419","POST /Pirate HTTP/1.1 "
"532","91.011778650","10.10.16.36","10.129.93.181","HTTP","222","HTTP/1.1 200 OK "
"534","91.605924540","10.129.93.181","10.10.16.36","HTTP","735","POST /Pirate HTTP/1.1 "
