TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,Action,CertificateDetails_EKUs_EKU_1_attributes_Name,CertificateDetails_EKUs_EKU_1_attributes_OID,CertificateDetails_EKUs_EKU_2_attributes_Name,CertificateDetails_EKUs_EKU_2_attributes_OID,CertificateDetails_EKUs_EKU_3_attributes_Name,CertificateDetails_EKUs_EKU_3_attributes_OID,CertificateDetails_EKUs_EKU_attributes_Name,CertificateDetails_EKUs_EKU_attributes_OID,CertificateDetails_NotValidAfter,CertificateDetails_SubjectNames_SubjectName,CertificateDetails_SubjectNames_SubjectName_1,CertificateDetails_SubjectNames_SubjectName_2,CertificateDetails_Template_attributes_Name,CertificateDetails_Template_attributes_OID,CertificateDetails_attributes_Thumbprint,attributes_AccountName,attributes_Context,attributes_ProcessName
2026-04-06T09:10:56.939163Z,1006,DC01.darkzero.htb,Microsoft-Windows-CertificateServicesClient-Lifecycle-System,Microsoft-Windows-CertificateServicesClient-Lifecycle-System/Operational,1,4,Enroll,Server Authentication,1.3.6.1.5.5.7.3.1,,,,,Client Authentication,1.3.6.1.5.5.7.3.2,2027-04-06T09:00:56Z,CN=DC01.darkzero.htb,2fbdfc1e-36e0-4e65-b21b-09dbb4e67d2f,DC01.darkzero.htb,DomainController,,a7e18d61e902d1ad9a4951a68fbf093a945100eb,darkzero\DC01$,Machine,taskhostw.exe
2026-05-21T21:46:39.173433Z,1006,DC01.darkzero.htb,Microsoft-Windows-CertificateServicesClient-Lifecycle-System,Microsoft-Windows-CertificateServicesClient-Lifecycle-System/Operational,2,4,Enroll,Server Authentication,1.3.6.1.5.5.7.3.1,Smart Card Logon,1.3.6.1.4.1.311.20.2.2,KDC Authentication,1.3.6.1.5.2.3.5,Client Authentication,1.3.6.1.5.5.7.3.2,2106-05-21T21:36:38Z,DC01.darkzero.htb,darkzero.htb,darkzero,KerberosAuthentication,1.3.6.1.4.1.311.21.8.4547139.2190644.2968235.1360229.16011542.247.1.33,0c976d7b05f85fde99ef074ae3fa7cee1b52a9ec,darkzero\Administrator,Machine,powershell.exe
