"Name","whenCreated","whenChanged","LastLogonDate","DistinguishedName"
"DC","5/13/2026 7:43:41 AM","9/20/2026 4:19:51 AM","9/20/2026 4:19:51 AM","CN=DC,OU=Domain Controllers,DC=scaffold,DC=htb"
"evilpc","9/20/2026 6:28:07 AM","9/20/2026 6:28:53 AM","9/20/2026 6:28:53 AM","CN=evilpc,OU=Dev_Machines,OU=Packaging_Team,OU=Scaffold,DC=scaffold,DC=htb"
