2026-06-23 14:02:34 status unpacked udev:amd64 255.4-1ubuntu8.15
2026-06-23 14:02:34 status half-installed udev:amd64 255.4-1ubuntu8.15
2026-06-23 14:02:35 status unpacked udev:amd64 255.4-1ubuntu8.16
2026-06-23 14:02:35 upgrade libudev1:amd64 255.4-1ubuntu8.15 255.4-1ubuntu8.16
2026-06-23 14:02:35 status half-configured libudev1:amd64 255.4-1ubuntu8.15
2026-06-23 14:02:35 status unpacked libudev1:amd64 255.4-1ubuntu8.15
2026-06-23 14:02:35 status half-installed libudev1:amd64 255.4-1ubuntu8.15
2026-06-23 14:02:35 status unpacked libudev1:amd64 255.4-1ubuntu8.16
2026-06-23 14:02:35 startup packages configure
2026-06-23 14:02:35 configure libudev1:amd64 255.4-1ubuntu8.16 <none>
2026-06-23 14:02:35 status unpacked libudev1:amd64 255.4-1ubuntu8.16
2026-06-23 14:02:35 status half-configured libudev1:amd64 255.4-1ubuntu8.16
2026-06-23 14:02:35 status installed libudev1:amd64 255.4-1ubuntu8.16
2026-06-23 14:02:35 startup archives unpack
2026-06-23 14:02:36 upgrade libssl3t64:amd64 3.0.13-0ubuntu3.9 3.0.13-0ubuntu3.11
2026-06-23 14:02:36 status half-configured libssl3t64:amd64 3.0.13-0ubuntu3.9
2026-06-23 14:02:36 status unpacked libssl3t64:amd64 3.0.13-0ubuntu3.9
2026-06-23 14:02:36 status half-installed libssl3t64:amd64 3.0.13-0ubuntu3.9
2026-06-23 14:02:36 status unpacked libssl3t64:amd64 3.0.13-0ubuntu3.11
2026-06-23 14:02:36 startup packages configure
2026-06-23 14:02:36 configure libssl3t64:amd64 3.0.13-0ubuntu3.11 <none>
2026-06-23 14:02:36 status unpacked libssl3t64:amd64 3.0.13-0ubuntu3.11
2026-06-23 14:02:36 status half-configured libssl3t64:amd64 3.0.13-0ubuntu3.11
2026-06-23 14:02:36 status installed libssl3t64:amd64 3.0.13-0ubuntu3.11
2026-06-23 14:02:36 startup archives unpack
2026-06-23 14:02:36 upgrade libapparmor1:amd64 4.0.1really4.0.1-0ubuntu0.24.04.6 4.0.1really4.0.1-0ubuntu0.24.04.7
2026-06-23 14:02:36 status half-configured libapparmor1:amd64 4.0.1really4.0.1-0ubuntu0.24.04.6
2026-06-23 14:02:36 status unpacked libapparmor1:amd64 4.0.1really4.0.1-0ubuntu0.24.04.6
2026-06-23 14:02:36 status half-installed libapparmor1:amd64 4.0.1really4.0.1-0ubuntu0.24.04.6
2026-06-23 14:02:36 status unpacked libapparmor1:amd64 4.0.1really4.0.1-0ubuntu0.24.04.7
2026-06-23 14:02:36 upgrade libgcrypt20:amd64 1.10.3-2build1 1.10.3-2ubuntu0.1
2026-06-23 14:02:36 status half-configured libgcrypt20:amd64 1.10.3-2build1
2026-06-23 14:02:36 status unpacked libgcrypt20:amd64 1.10.3-2build1
2026-06-23 14:02:36 status half-installed libgcrypt20:amd64 1.10.3-2build1
2026-06-23 14:02:37 status unpacked libgcrypt20:amd64 1.10.3-2ubuntu0.1
2026-06-23 14:02:37 startup packages configure
2026-06-23 14:02:37 configure libgcrypt20:amd64 1.10.3-2ubuntu0.1 <none>
2026-06-23 14:02:37 status unpacked libgcrypt20:amd64 1.10.3-2ubuntu0.1
2026-06-23 14:02:37 status half-configured libgcrypt20:amd64 1.10.3-2ubuntu0.1
2026-06-23 14:02:37 status installed libgcrypt20:amd64 1.10.3-2ubuntu0.1
2026-06-23 14:02:37 startup archives unpack
2026-06-23 14:02:37 upgrade liblzma5:amd64 5.6.1+really5.4.5-1ubuntu0.2 5.6.1+really5.4.5-1ubuntu0.3
2026-06-23 14:02:37 status half-configured liblzma5:amd64 5.6.1+really5.4.5-1ubuntu0.2
2026-06-23 14:02:37 status unpacked liblzma5:amd64 5.6.1+really5.4.5-1ubuntu0.2
2026-06-23 14:02:37 status half-installed liblzma5:amd64 5.6.1+really5.4.5-1ubuntu0.2
2026-06-23 14:02:37 status unpacked liblzma5:amd64 5.6.1+really5.4.5-1ubuntu0.3
2026-06-23 14:02:37 startup packages configure
2026-06-23 14:02:37 configure liblzma5:amd64 5.6.1+really5.4.5-1ubuntu0.3 <none>
2026-06-23 14:02:37 status unpacked liblzma5:amd64 5.6.1+really5.4.5-1ubuntu0.3
2026-06-23 14:02:37 status half-configured liblzma5:amd64 5.6.1+really5.4.5-1ubuntu0.3
2026-06-23 14:02:37 status installed liblzma5:amd64 5.6.1+really5.4.5-1ubuntu0.3
2026-06-23 14:02:37 startup archives unpack
2026-06-23 14:02:38 upgrade rsync:amd64 3.2.7-1ubuntu1.4 3.2.7-1ubuntu1.5
2026-06-23 14:02:38 status half-configured rsync:amd64 3.2.7-1ubuntu1.4
2026-06-23 14:02:38 status unpacked rsync:amd64 3.2.7-1ubuntu1.4
2026-06-23 14:02:38 status half-installed rsync:amd64 3.2.7-1ubuntu1.4
2026-06-23 14:02:38 status unpacked rsync:amd64 3.2.7-1ubuntu1.5
2026-06-23 14:02:38 upgrade dovecot-imapd:amd64 1:2.3.21+dfsg1-2ubuntu6.4 1:2.3.21+dfsg1-2ubuntu6.5
2026-06-23 14:02:38 status triggers-pending dovecot-core:amd64 1:2.3.21+dfsg1-2ubuntu6.4
2026-06-23 14:02:38 status half-configured dovecot-imapd:amd64 1:2.3.21+dfsg1-2ubuntu6.4
2026-06-23 14:02:38 status unpacked dovecot-imapd:amd64 1:2.3.21+dfsg1-2ubuntu6.4
2026-06-23 14:02:38 status half-installed dovecot-imapd:amd64 1:2.3.21+dfsg1-2ubuntu6.4
2026-06-23 14:02:38 status unpacked dovecot-imapd:amd64 1:2.3.21+dfsg1-2ubuntu6.5
2026-06-23 14:02:38 upgrade dovecot-pop3d:amd64 1:2.3.21+dfsg1-2ubuntu6.4 1:2.3.21+dfsg1-2ubuntu6.5
2026-06-23 14:02:38 status half-configured dovecot-pop3d:amd64 1:2.3.21+dfsg1-2ubuntu6.4
2026-06-23 14:02:38 status unpacked dovecot-pop3d:amd64 1:2.3.21+dfsg1-2ubuntu6.4
2026-06-23 14:02:38 status half-installed dovecot-pop3d:amd64 1:2.3.21+dfsg1-2ubuntu6.4
2026-06-23 14:02:38 status unpacked dovecot-pop3d:amd64 1:2.3.21+dfsg1-2ubuntu6.5
2026-06-23 14:02:38 upgrade openssl:amd64 3.0.13-0ubuntu3.9 3.0.13-0ubuntu3.11
2026-06-23 14:02:38 status half-configured openssl:amd64 3.0.13-0ubuntu3.9
2026-06-23 14:02:38 status unpacked openssl:amd64 3.0.13-0ubuntu3.9
2026-06-23 14:02:38 status half-installed openssl:amd64 3.0.13-0ubuntu3.9
2026-06-23 14:02:40 status unpacked openssl:amd64 3.0.13-0ubuntu3.11
2026-06-23 14:02:40 upgrade dovecot-core:amd64 1:2.3.21+dfsg1-2ubuntu6.4 1:2.3.21+dfsg1-2ubuntu6.5
2026-06-23 14:02:40 status half-configured dovecot-core:amd64 1:2.3.21+dfsg1-2ubuntu6.4
