TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,applicationID,className,destination,namespaceName,operationName,operationType,resourceUri
2026-03-26T06:17:15.238378Z,132,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1700,4,,,,,Enumeration,,
2026-03-26T06:17:15.239817Z,145,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1701,4,,,,,Enumeration,,http://schemas.microsoft.com/wbem/wsman/1/Config/Plugin
2026-03-26T06:17:15.244300Z,254,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1702,4,,,,,,,
2026-03-26T06:17:15.244302Z,132,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1703,4,,,,,Enumeration,,
2026-03-26T06:17:15.245967Z,145,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1704,4,,,,,Enumeration,,http://schemas.microsoft.com/wbem/wsman/1/Config/Plugin
2026-03-26T06:17:15.249900Z,254,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1705,4,,,,,,,
2026-03-26T06:17:15.249901Z,132,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1706,4,,,,,Enumeration,,
2026-03-26T06:17:15.251331Z,145,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1707,4,,,,,Enumeration,,http://schemas.microsoft.com/wbem/wsman/1/Config/Plugin
2026-03-26T06:17:15.254649Z,254,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1708,4,,,,,,,
2026-03-26T06:17:15.254651Z,132,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1709,4,,,,,Enumeration,,
2026-03-26T06:17:15.255874Z,145,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1710,4,,,,,Enumeration,,http://schemas.microsoft.com/wbem/wsman/1/Config/Plugin
2026-03-26T06:17:15.259231Z,254,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1711,4,,,,,,,
2026-03-26T06:17:15.259233Z,132,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1712,4,,,,,Enumeration,,
2026-03-26T06:17:15.266208Z,145,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1713,4,,,,,Enumeration,,http://schemas.microsoft.com/wbem/wsman/1/Config/Plugin
2026-03-26T06:17:15.269936Z,254,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1714,4,,,,,,,
2026-03-26T06:17:15.269938Z,132,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1715,4,,,,,Enumeration,,
2026-03-26T06:17:15.271033Z,145,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1716,4,,,,,Enumeration,,http://schemas.microsoft.com/wbem/wsman/1/Config/Plugin
2026-03-26T06:17:15.274604Z,254,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1717,4,,,,,,,
2026-03-26T06:17:15.274605Z,132,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1718,4,,,,,Enumeration,,
2026-03-26T06:17:15.275670Z,145,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1719,4,,,,,Enumeration,,http://schemas.microsoft.com/wbem/wsman/1/Config/Plugin
2026-03-26T06:17:15.279259Z,254,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1720,4,,,,,,,
2026-03-26T06:17:15.279260Z,132,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1721,4,,,,,Enumeration,,
2026-03-26T06:17:15.281237Z,145,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1722,4,,,,,Enumeration,,http://schemas.microsoft.com/wbem/wsman/1/Config/Plugin
2026-03-26T06:17:15.284448Z,254,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1723,4,,,,,,,
2026-03-26T06:17:15.284449Z,132,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1724,4,,,,,Enumeration,,
2026-03-26T06:17:15.285422Z,145,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1725,4,,,,,Enumeration,,http://schemas.microsoft.com/wbem/wsman/1/Config/Plugin
2026-03-26T06:17:15.288858Z,254,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1726,4,,,,,,,
2026-03-26T06:17:15.288859Z,132,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1727,4,,,,,Enumeration,,
2026-03-26T06:17:15.290293Z,145,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1728,4,,,,,Enumeration,,http://schemas.microsoft.com/wbem/wsman/1/Config/Plugin
2026-03-26T06:17:15.294304Z,254,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1729,4,,,,,,,
2026-03-26T06:17:15.294306Z,132,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1730,4,,,,,Enumeration,,
2026-03-26T06:17:15.295297Z,145,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1731,4,,,,,Enumeration,,http://schemas.microsoft.com/wbem/wsman/1/Config/Plugin
2026-03-26T06:17:15.297859Z,254,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1732,4,,,,,,,
2026-03-26T06:17:15.297860Z,132,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1733,4,,,,,Enumeration,,
2026-03-26T06:17:15.298630Z,145,dc.danglingtree.htb,Microsoft-Windows-WinRM,Microsoft-Windows-WinRM/Operational,1734,4,,,,,Enumeration,,http://schemas.microsoft.com/wbem/wsman/1/Config/Plugin
