TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,CONSUMER,ClientMachine,ClientProcessId,Code,Component,ESS,HostProcess,Id,Namespace,NamespaceName,Operation,PossibleCause,ProcessID,Processid,ProviderName,ProviderPath,Query,ResultCode,User,attributes_xmlns,queryid
2026-09-02T03:30:25.062912Z,5857,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3174,0,,,,0x0,,,wmiprvse.exe,,,,,,4188,,InvProv,C:\Windows\System32\invagent.dll,,,,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T03:39:21.084165Z,5857,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3175,0,,,,0x0,,,wmiprvse.exe,,,,,,4172,,mgmtprovider,%systemroot%\system32\wbem\mgmtprovider.dll,,,,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T03:39:23.252911Z,5857,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3176,0,,,,0x0,,,wmiprvse.exe,,,,,,4124,,NetAdapterCim,%systemroot%\system32\wbem\NetAdapterCim.dll,,,,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T03:39:25.511818Z,5857,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3177,0,,,,0x0,,,wmiprvse.exe,,,,,,4172,,nettcpip,%systemroot%\system32\wbem\NetTCPIP.dll,,,,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T03:39:35.931192Z,5857,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3178,0,,,,0x0,,,wmiprvse.exe,,,,,,6780,,deploymentprovider,%systemroot%\system32\wbem\ServerManager.DeploymentProvider.dll,,,,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T03:49:19.878488Z,5857,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3179,0,,,,0x0,,,wmiprvse.exe,,,,,,4172,,mgmtprovider,%systemroot%\system32\wbem\mgmtprovider.dll,,,,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T03:49:20.244348Z,5857,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3180,0,,,,0x0,,,wmiprvse.exe,,,,,,4552,,NetAdapterCim,%systemroot%\system32\wbem\NetAdapterCim.dll,,,,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T03:49:20.512322Z,5857,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3181,0,,,,0x0,,,wmiprvse.exe,,,,,,4172,,nettcpip,%systemroot%\system32\wbem\NetTCPIP.dll,,,,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T03:49:26.643728Z,5857,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3182,0,,,,0x0,,,wmiprvse.exe,,,,,,8032,,deploymentprovider,%systemroot%\system32\wbem\ServerManager.DeploymentProvider.dll,,,,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T03:53:27.511329Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3183,2,,DC,5608,,Unknown,,,{ED99C09C-3A8A-0000-B3DC-99ED8A3ADD01},,,Start IWbemServices::ExecQuery - root\cimv2 : Select * from Win32_QuickFixEngineering,"Throttling Idle Tasks, refer to CIMOM regkey: ArbTaskMaxIdle",,,,,,0x80041032,SCAFFOLD\Administrator,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T03:58:16.270038Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3184,2,,DC,5608,,Unknown,,,{ED99C09C-3A8A-0000-CFEF-99ED8A3ADD01},,,Start IWbemServices::ExecQuery - root\cimv2 : Select * from Win32_QuickFixEngineering,"Throttling Idle Tasks, refer to CIMOM regkey: ArbTaskMaxIdle",,,,,,0x80041032,SCAFFOLD\Administrator,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T03:59:19.839679Z,5857,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3185,0,,,,0x0,,,wmiprvse.exe,,,,,,4172,,mgmtprovider,%systemroot%\system32\wbem\mgmtprovider.dll,,,,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T03:59:20.238778Z,5857,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3186,0,,,,0x0,,,wmiprvse.exe,,,,,,7872,,NetAdapterCim,%systemroot%\system32\wbem\NetAdapterCim.dll,,,,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T03:59:20.605850Z,5857,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3187,0,,,,0x0,,,wmiprvse.exe,,,,,,4172,,nettcpip,%systemroot%\system32\wbem\NetTCPIP.dll,,,,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T03:59:26.467879Z,5857,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3188,0,,,,0x0,,,wmiprvse.exe,,,,,,7688,,deploymentprovider,%systemroot%\system32\wbem\ServerManager.DeploymentProvider.dll,,,,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T04:14:07.754336Z,5857,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3189,0,,,,0x0,,,wmiprvse.exe,,,,,,3304,,CIMWin32,%systemroot%\system32\wbem\cimwin32.dll,,,,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T04:14:09.067997Z,5857,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3190,0,,,,0x0,,,wmiprvse.exe,,,,,,3304,,CIMWin32a,%systemroot%\system32\wbem\wmipcima.dll,,,,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T04:14:12.162478Z,5857,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3191,0,,,,0x0,,,wmiprvse.exe,,,,,,4224,,WMIProv,%systemroot%\system32\wbem\wmiprov.dll,,,,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T04:14:12.661073Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3192,2,,DC,3680,,Unknown,,,{00000000-0000-0000-0000-000000000000},,,Start IWbemServices::CreateInstanceEnum - root\wmi : MS_SM_AdapterInformationQuery,Unknown,,,,,,0x8004100c,NT AUTHORITY\SYSTEM,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T04:14:13.796171Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3193,2,,DC,3680,,Unknown,,,{00000000-0000-0000-0000-000000000000},,,Start IWbemServices::CreateInstanceEnum - root\wmi : MSiSCSI_PortalInfoClass,Unknown,,,,,,0x8004100c,NT AUTHORITY\SYSTEM,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T04:14:25.473969Z,5857,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3194,0,,,,0x0,,,wmiprvse.exe,,,,,,4224,,WmiPerfClass,C:\Windows\System32\wbem\WmiPerfClass.dll,,,,http://manifests.microsoft.com/win/2006/windows/WMI,
2026-09-02T04:14:36.124166Z,5858,dc.scaffold.htb,Microsoft-Windows-WMI-Activity,Microsoft-Windows-WMI-Activity/Operational,3195,2,,DC,3036,,Unknown,,,{00000000-0000-0000-0000-000000000000},,,Start IWbemServices::ExecQuery - ROOT\CIMV2 : Select * from Win32_Process Where ProcessID = '1364',Unknown,,,,,,0x80041032,SCAFFOLD\Administrator,http://manifests.microsoft.com/win/2006/windows/WMI,
