TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,Binary,Name,VirtualizationID,attributes_Name,param1,param2,param3,param4
2026-09-02T00:13:02.689611Z,408,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,353,2,,,,DNS_EVENT_OPEN_SOCKET_FOR_ADDRESS,169.254.87.5,,,
2026-09-02T00:18:22.817303Z,3,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,354,4,,DNS_EVENT_SHUTDOWN,,,,,,
2026-09-02T02:17:12.682106Z,7693,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,355,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2026-09-02T02:17:18.584682Z,4013,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,356,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2026-09-02T02:17:42.707660Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,357,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.scaffold.htb,NULL,dc.scaffold.htb,
2026-09-02T02:17:42.716819Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,358,4,,,.,DNS_EVENT_ZONE_LOAD_OK,scaffold.htb,NULL,dc.scaffold.htb,
2026-09-02T02:17:42.719615Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,359,4,,,.,DNS_EVENT_ZONE_LOAD_OK,TrustAnchors,NULL,dc.scaffold.htb,
2026-09-02T02:17:42.882371Z,2,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,360,4,,DNS_EVENT_STARTUP_OK,,,,,,
2026-09-02T02:17:43.239786Z,4,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,361,4,,DNS_EVENT_ZONE_LOAD_COMPLETE,,,,,,
2026-09-02T02:17:51.636872Z,3,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,362,4,,DNS_EVENT_SHUTDOWN,,,,,,
2026-09-02T02:24:57.602403Z,7693,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,363,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2026-09-02T02:25:03.280935Z,4013,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,364,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2026-09-02T02:25:27.349056Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,365,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.scaffold.htb,NULL,dc.scaffold.htb,
2026-09-02T02:25:27.354162Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,366,4,,,.,DNS_EVENT_ZONE_LOAD_OK,scaffold.htb,NULL,dc.scaffold.htb,
2026-09-02T02:25:27.356578Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,367,4,,,.,DNS_EVENT_ZONE_LOAD_OK,TrustAnchors,NULL,dc.scaffold.htb,
2026-09-02T02:25:27.505818Z,2,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,368,4,,DNS_EVENT_STARTUP_OK,,,,,,
2026-09-02T02:25:27.866637Z,4,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,369,4,,DNS_EVENT_ZONE_LOAD_COMPLETE,,,,,,
2026-09-02T02:25:42.944265Z,3,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,370,4,,DNS_EVENT_SHUTDOWN,,,,,,
2026-09-02T03:17:23.908407Z,7693,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,371,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2026-09-02T03:17:29.664947Z,4013,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,372,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2026-09-02T03:17:53.547879Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,373,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.scaffold.htb,NULL,dc.scaffold.htb,
2026-09-02T03:17:53.553121Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,374,4,,,.,DNS_EVENT_ZONE_LOAD_OK,scaffold.htb,NULL,dc.scaffold.htb,
2026-09-02T03:17:53.554188Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,375,4,,,.,DNS_EVENT_ZONE_LOAD_OK,TrustAnchors,NULL,dc.scaffold.htb,
2026-09-02T03:17:53.681694Z,2,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,376,4,,DNS_EVENT_STARTUP_OK,,,,,,
2026-09-02T03:17:54.074847Z,4,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,377,4,,DNS_EVENT_ZONE_LOAD_COMPLETE,,,,,,
2026-09-02T03:21:32.808937Z,3,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,378,4,,DNS_EVENT_SHUTDOWN,,,,,,
2026-09-02T03:22:05.872362Z,7693,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,379,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2026-09-02T03:22:11.692375Z,4013,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,380,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2026-09-02T03:22:35.237617Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,381,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.scaffold.htb,NULL,dc.scaffold.htb,
2026-09-02T03:22:35.243632Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,382,4,,,.,DNS_EVENT_ZONE_LOAD_OK,scaffold.htb,NULL,dc.scaffold.htb,
2026-09-02T03:22:35.245436Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,383,4,,,.,DNS_EVENT_ZONE_LOAD_OK,TrustAnchors,NULL,dc.scaffold.htb,
2026-09-02T03:22:35.432336Z,2,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,384,4,,DNS_EVENT_STARTUP_OK,,,,,,
2026-09-02T03:22:35.754396Z,4,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,385,4,,DNS_EVENT_ZONE_LOAD_COMPLETE,,,,,,
2026-09-02T03:26:28.028314Z,3,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,386,4,,DNS_EVENT_SHUTDOWN,,,,,,
2026-09-02T03:27:23.984452Z,7693,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,387,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2026-09-02T03:27:29.622144Z,4013,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,388,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2026-09-02T03:27:53.932427Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,389,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.scaffold.htb,NULL,dc.scaffold.htb,
2026-09-02T03:27:53.939032Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,390,4,,,.,DNS_EVENT_ZONE_LOAD_OK,scaffold.htb,NULL,dc.scaffold.htb,
2026-09-02T03:27:53.940851Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,391,4,,,.,DNS_EVENT_ZONE_LOAD_OK,TrustAnchors,NULL,dc.scaffold.htb,
2026-09-02T03:27:54.112655Z,2,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,392,4,,DNS_EVENT_STARTUP_OK,,,,,,
2026-09-02T03:27:54.504421Z,4,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,393,4,,DNS_EVENT_ZONE_LOAD_COMPLETE,,,,,,
2026-09-02T04:11:29.503968Z,3,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,394,4,,DNS_EVENT_SHUTDOWN,,,,,,
2026-09-02T04:14:04.249564Z,7693,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,395,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2026-09-02T04:14:09.946492Z,4013,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,396,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2026-09-02T04:14:33.993597Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,397,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.scaffold.htb,NULL,dc.scaffold.htb,
2026-09-02T04:14:33.998547Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,398,4,,,.,DNS_EVENT_ZONE_LOAD_OK,scaffold.htb,NULL,dc.scaffold.htb,
2026-09-02T04:14:34.001088Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,399,4,,,.,DNS_EVENT_ZONE_LOAD_OK,TrustAnchors,NULL,dc.scaffold.htb,
2026-09-02T04:14:34.163344Z,2,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,400,4,,DNS_EVENT_STARTUP_OK,,,,,,
2026-09-02T04:14:34.523452Z,4,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,401,4,,DNS_EVENT_ZONE_LOAD_COMPLETE,,,,,,
2026-09-02T04:15:25.034814Z,3,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,402,4,,DNS_EVENT_SHUTDOWN,,,,,,
2026-09-02T04:22:59.055808Z,7693,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,403,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2026-09-02T04:23:04.684158Z,4013,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,404,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2026-09-02T04:23:28.822662Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,405,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.scaffold.htb,NULL,dc.scaffold.htb,
2026-09-02T04:23:28.827578Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,406,4,,,.,DNS_EVENT_ZONE_LOAD_OK,scaffold.htb,NULL,dc.scaffold.htb,
2026-09-02T04:23:28.830238Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,407,4,,,.,DNS_EVENT_ZONE_LOAD_OK,TrustAnchors,NULL,dc.scaffold.htb,
2026-09-02T04:23:28.999039Z,2,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,408,4,,DNS_EVENT_STARTUP_OK,,,,,,
