TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,AdditionalErrorMessage,AppType,AppVersion,Binary,CACertIdentifier,CACommonName,CAKeyIdentifier,DCName,DCSpecifier,DN,Data_text,Data_text_0,Data_text_1,Data_text_10,Data_text_11,Data_text_12,Data_text_13,Data_text_14,Data_text_15,Data_text_16,Data_text_17,Data_text_18,Data_text_19,Data_text_2,Data_text_20,Data_text_21,Data_text_22,Data_text_3,Data_text_4,Data_text_5,Data_text_6,Data_text_7,Data_text_8,Data_text_9,DisplayName,ErrorCode,ErrorMessageText,ErrorString,FullPath,LDAPPath,Library,MethodName,Name,Pid,PolicyModuleDescription,Reason,RequestId,RmSessionId,Status,TSSessionId,URL,UTCStartTime,User,Version,Win32Error,attributes_Name,attributes_xmlns,binaryData,binaryDataSize,param1,param10,param11,param12,param2,param3,param4,param5,param6,param7,param8,param9
2026-09-02T04:23:25.138684Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 17137}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10594,4,,,,F14200000A0000000E000000440043005C00530051004C004500580050005200450053005300000000000000,,,,,,,master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:25.638674Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 6253}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10595,4,,,,6D1800000A0000000E000000440043005C00530051004C004500580050005200450053005300000000000000,,,,,,,,v4.0.30319,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:25.701177Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 33217}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10596,4,,,,C18100000A0000000E000000440043005C00530051004C0045005800500052004500530053000000070000006D00610073007400650072000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:25.701177Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 33218}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10597,4,,,,C28100000A0000000E000000440043005C00530051004C0045005800500052004500530053000000070000006D00610073007400650072000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:25.794938Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 19030}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10598,4,,,,564A00000A0000000E000000440043005C00530051004C0045005800500052004500530053000000070000006D00610073007400650072000000,,,,,,,,1,sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:25.794938Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 17663}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10599,4,,,,FF4400000A0000000E000000440043005C00530051004C0045005800500052004500530053000000070000006D00610073007400650072000000,,,,,,,DC\SQLEXPRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:25.826181Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 17137}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10600,4,,,,F14200000A0000000E000000440043005C00530051004C0045005800500052004500530053000000070000006D00610073007400650072000000,,,,,,,msdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:25.826181Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 17137}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10601,4,,,,F14200000A0000000E000000440043005C00530051004C0045005800500052004500530053000000070000006D00610073007400650072000000,,,,,,,mssqlsystemresource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:25.841800Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 958}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10602,4,,,,BE0300000A0000000E000000440043005C00530051004C0045005800500052004500530053000000070000006D00610073007400650072000000,,,,,,,15.00.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:26.045623Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 17137}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10603,4,,,,F14200000A0000000E000000440043005C00530051004C0045005800500052004500530053000000070000006D00610073007400650072000000,,,,,,,model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:26.076175Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 26018}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10604,4,,,,A26500000A0000000E000000440043005C00530051004C004500580050005200450053005300000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
