TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,Binary,Data_text,Data_text_0,Data_text_1,Data_text_10,Data_text_11,Data_text_2,Data_text_3,Data_text_4,Data_text_5,Data_text_6,Data_text_7,Data_text_8,Data_text_9
2026-09-08T02:33:00.607007Z,"{'#attributes': {'Qualifiers': 0}, '#text': 326}",dc.scaffold.htb,NTDS ISAM,Directory Service,1280,4,,,NTDS,"680,D,50",,,NTDSA: ,1,C:\Windows\NTDS\ntds.dit,0,"
[1] 0.000009 +J(0) +M(C:0K, Fs:1, WS:4K # 0K, PF:0K # 0K, P:0K)
[2] 0.000587 -0.000396 (1) WT +J(0) +M(C:0K, Fs:20, WS:12K # 0K, PF:12K # 0K, P:12K)
[3] 0.005420 -0.002343 (6) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:3480/2) +M(C:0K, Fs:17, WS:56K # 0K, PF:112K # 0K, P:112K)
[4] 0.000079 +J(0)
[5] -
[6] -
[7] -
[8] 0.001062 -0.000386 (2) CM -0.000315 (2) WT +J(CM:2, PgRf:2, Rd:4/2, Dy:0/0, Lg:0/0) +M(C:16K, Fs:43, WS:164K # 0K, PF:212K # 0K, P:212K)
[9] 0.002710 -0.002111 (9) CM -0.001835 (9) WT +J(CM:9, PgRf:24, Rd:0/9, Dy:0/0, Lg:0/0) +M(C:-8K, Fs:31, WS:104K # 0K, PF:196K # 0K, P:196K)
[10] 0.000896 -0.000656 (4) CM -0.000535 (4) WT +J(CM:4, PgRf:40, Rd:0/4, Dy:0/0, Lg:0/0) +M(C:-4K, Fs:6, WS:12K # 0K, PF:60K # 0K, P:60K)
[11] 0.000038 +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:4, WS:16K # 0K, PF:0K # 0K, P:0K)
[12] 0.000055 +J(CM:0, PgRf:48, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:2, WS:8K # 0K, PF:0K # 0K, P:0K)
[13] 0.0 +J(0)
[14] 0.0 +J(0)
[15] 0.000004 +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0).",0 0,"lgposAttach = 00000003:0338:0268,
dbv = 1568.20.0 (8920)",
2026-09-08T02:33:00.607007Z,"{'#attributes': {'Qualifiers': 0}, '#text': 330}",dc.scaffold.htb,NTDS ISAM,Directory Service,1281,4,,,NTDS,"680,D,2",,,NTDSA: ,C:\Windows\NTDS\temp.edb,0x22D8 (8920),8920 (0x22d8),9360 (0x2490),,,
2026-09-08T02:33:00.607007Z,"{'#attributes': {'Qualifiers': 0}, '#text': 700}",dc.scaffold.htb,NTDS ISAM,Directory Service,1282,4,,,NTDS,"680,D,0",,,NTDSA: ,C:\Windows\NTDS\ntds.dit,,,,,,
2026-09-08T02:33:00.841385Z,"{'#attributes': {'Qualifiers': 0}, '#text': 701}",dc.scaffold.htb,NTDS ISAM,Directory Service,1283,4,,,NTDS,"680,D,0",,,NTDSA: ,C:\Windows\NTDS\ntds.dit,2,9/7/2026,0,1,1,26
2026-09-08T02:33:00.607007Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 3033}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1284,4,,,,,,,,,,,,,,
2026-09-08T02:33:00.607007Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 3027}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1285,4,,3600,,,,,,,,,,,,
2026-09-08T02:33:00.607007Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1869}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1286,4,,,\\dc.scaffold.htb,Default-First-Site-Name,,,,,,,,,,
2026-09-08T03:00:48.935130Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2179}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1287,4,,16342153456212250091,,,,,,,,,,,,
2026-09-08T03:00:49.310128Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1004}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1288,4,,,,,,,,,,,,,,
2026-09-08T04:34:28.590954Z,"{'#attributes': {'Qualifiers': 32768}, '#text': 3051}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1289,3,,,,,,,,,,,,,,
2026-09-08T04:34:28.590954Z,"{'#attributes': {'Qualifiers': 32768}, '#text': 3054}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1290,3,,,,,,,,,,,,,,
2026-09-08T04:34:28.794054Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2121}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1291,4,,,,,,,,,,,,,,
2026-09-08T04:34:28.794054Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2406}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1292,4,,Recycle Bin Feature,,,,,,,,,,,,
2026-09-08T04:34:28.794054Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2406}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1293,4,,Privileged Access Management Feature,,,,,,,,,,,,
2026-09-08T04:34:28.794054Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2168}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1294,4,,17012706603650086736,,,,,,,,,,,,
2026-09-08T04:34:28.794054Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2172}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1295,4,,16342153456212250091,,,,,,,,,,,,
2026-09-08T04:34:28.794054Z,"{'#attributes': {'Qualifiers': 32768}, '#text': 2170}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1296,3,,,16342153456212250091,17012706603650086736,,,,,,,,,,
2026-09-08T04:34:28.794054Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1109}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1297,4,,,cbeba683-dfd6-4693-9cc7-a218b5c6d168,7fddf423-4e9b-413b-a2fd-434f1111a42c,,,233527,,,,,,,
2026-09-08T04:34:28.809681Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2208}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1298,4,,,,,,,,,,,,,,
2026-09-08T04:34:28.809681Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2179}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1299,4,,17012706603650086736,,,,,,,,,,,,
2026-09-08T04:34:28.825309Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2120}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1300,4,,,,,,,,,,,,,,
2026-09-08T04:34:28.825309Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2405}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1301,4,,Recycle Bin Feature,,,,,,,,,,,,
2026-09-08T04:34:28.825309Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2405}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1302,4,,Privileged Access Management Feature,,,,,,,,,,,,
2026-09-08T04:34:38.840990Z,"{'#attributes': {'Qualifiers': 32768}, '#text': 2886}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1303,3,,,,,,,,,,,,,,
2026-09-08T04:34:38.840990Z,"{'#attributes': {'Qualifiers': 32768}, '#text': 3041}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1304,3,,,,,,,,,,,,,,
2026-09-08T04:34:38.840990Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1000}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1305,4,,,,,,,,,,,,,,
2026-09-08T04:35:08.966048Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1394}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1306,4,,,,,,,,,,,,,,
