TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,ClientAddress,ClientAddressLength,ClientName,ClientNameLength,ConnectionGUID,GrantedAccess,MappedAccess,ReasonCode,SPN,SPNValidationPolicy,SessionGUID,SessionID,SessionId,ShareName,ShareNameLength,SharePath,SharePathLength,ShareSecurityDescriptor,ShareSecurityDescriptorLength,Status,TranslatedStatus,UserName,UserNameLength,attributes_xmlns
2026-05-17T16:12:40.374067Z,1006,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,36,2,020084BCC0A864010000000000000000,16,\\192.168.100.1,15,,0x0,0x2,,,,,0x300000000031,,\\*\NETLOGON,12,\??\C:\Windows\SYSVOL\sysvol\scaffold.htb\SCRIPTS,49,0100048048000000580000000000000014000000020034000200000000001400A900120001010000000000010000000000001800FF011F000102000000000005200000002002000001020000000000052000000020020000010100000000000512000000,100,0xc0000022,0xc0000022,SCAFFOLD\j.harris,17,Smb2Namespace
2026-05-17T16:12:40.382140Z,1006,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,37,2,020084BCC0A864010000000000000000,16,\\192.168.100.1,15,,0x0,0x1f01ff,,,,,0x300000000031,,\\*\REMINST,11,\??\C:\RemoteInstall,20,0100048084000000940000000000000014000000020070000400000000031400FF011F0001010000000000051200000000031800FF011F000102000000000005200000002002000000031400A900120001010000000000050B00000000032800FF011F00010600000000000550000000EEB8A9641355D7C01EEA005250362135069D16DC01020000000000052000000020020000010500000000000515000000F5B0CF1512C8CDA9C5D939CF01020000,176,0xc0000022,0xc0000022,SCAFFOLD\j.harris,17,Smb2Namespace
2026-05-17T16:12:40.384573Z,1006,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,38,2,020084BCC0A864010000000000000000,16,\\192.168.100.1,15,,0x0,0x2,,,,,0x300000000031,,\\*\REMINST,11,\??\C:\RemoteInstall,20,0100048084000000940000000000000014000000020070000400000000031400FF011F0001010000000000051200000000031800FF011F000102000000000005200000002002000000031400A900120001010000000000050B00000000032800FF011F00010600000000000550000000EEB8A9641355D7C01EEA005250362135069D16DC01020000000000052000000020020000010500000000000515000000F5B0CF1512C8CDA9C5D939CF01020000,176,0xc0000022,0xc0000022,SCAFFOLD\j.harris,17,Smb2Namespace
2026-05-17T16:13:29.776850Z,1015,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,39,2,020095FCC0A8640100000000000000000000FFFFC0A864010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,128,\\192.168.100.1,30,,,,,,,,0x0,,,,,,,,0xc0000203,0xc0000203,,,Smb2Namespace
2026-05-17T16:16:15.847279Z,1015,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,40,2,0200A036C0A8640100000000000000000000FFFFC0A864010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,128,\\192.168.100.1,30,,,,,,,,0x0,,,,,,,,0xc0000203,0xc0000203,,,Smb2Namespace
2026-05-17T16:16:20.359714Z,1006,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,41,2,0200CF00C0A864010000000000000000,16,\\192.168.100.1,15,,0x0,0x81,,,,,0x340000000021,,\\*\DeploymentShare$,20,\??\Y:\DeploymentShare,22,0100048034000000440000000000000014000000020020000100000000031800FF011F000102000000000005200000002002000001020000000000052000000020020000010500000000000515000000F5B0CF1512C8CDA9C5D939CF01020000,96,0xc0000022,0xc0000022,SCAFFOLD\j.harris,17,Smb2Namespace
2026-05-17T16:16:20.362069Z,1006,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,42,2,0200CF00C0A864010000000000000000,16,\\192.168.100.1,15,,0x0,0x1f01ff,,,,,0x340000000021,,\\*\DeploymentShare$,20,\??\Y:\DeploymentShare,22,0100048034000000440000000000000014000000020020000100000000031800FF011F000102000000000005200000002002000001020000000000052000000020020000010500000000000515000000F5B0CF1512C8CDA9C5D939CF01020000,96,0xc0000022,0xc0000022,SCAFFOLD\j.harris,17,Smb2Namespace
2026-05-17T16:16:20.364606Z,1006,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,43,2,0200CF00C0A864010000000000000000,16,\\192.168.100.1,15,,0x0,0x2,,,,,0x340000000021,,\\*\DeploymentShare$,20,\??\Y:\DeploymentShare,22,0100048034000000440000000000000014000000020020000100000000031800FF011F000102000000000005200000002002000001020000000000052000000020020000010500000000000515000000F5B0CF1512C8CDA9C5D939CF01020000,96,0xc0000022,0xc0000022,SCAFFOLD\j.harris,17,Smb2Namespace
2026-05-17T16:16:20.379646Z,1006,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,44,2,0200CF00C0A864010000000000000000,16,\\192.168.100.1,15,,0x0,0x1f01ff,,,,,0x340000000021,,\\*\NETLOGON,12,\??\C:\Windows\SYSVOL\sysvol\scaffold.htb\SCRIPTS,49,0100048048000000580000000000000014000000020034000200000000001400A900120001010000000000010000000000001800FF011F000102000000000005200000002002000001020000000000052000000020020000010100000000000512000000,100,0xc0000022,0xc0000022,SCAFFOLD\j.harris,17,Smb2Namespace
2026-05-17T16:16:20.382177Z,1006,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,45,2,0200CF00C0A864010000000000000000,16,\\192.168.100.1,15,,0x0,0x2,,,,,0x340000000021,,\\*\NETLOGON,12,\??\C:\Windows\SYSVOL\sysvol\scaffold.htb\SCRIPTS,49,0100048048000000580000000000000014000000020034000200000000001400A900120001010000000000010000000000001800FF011F000102000000000005200000002002000001020000000000052000000020020000010100000000000512000000,100,0xc0000022,0xc0000022,SCAFFOLD\j.harris,17,Smb2Namespace
2026-05-17T16:16:20.389559Z,1006,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,46,2,0200CF00C0A864010000000000000000,16,\\192.168.100.1,15,,0x0,0x1f01ff,,,,,0x340000000021,,\\*\REMINST,11,\??\C:\RemoteInstall,20,0100048084000000940000000000000014000000020070000400000000031400FF011F0001010000000000051200000000031800FF011F000102000000000005200000002002000000031400A900120001010000000000050B00000000032800FF011F00010600000000000550000000EEB8A9641355D7C01EEA005250362135069D16DC01020000000000052000000020020000010500000000000515000000F5B0CF1512C8CDA9C5D939CF01020000,176,0xc0000022,0xc0000022,SCAFFOLD\j.harris,17,Smb2Namespace
2026-05-17T16:16:20.391747Z,1006,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,47,2,0200CF00C0A864010000000000000000,16,\\192.168.100.1,15,,0x0,0x2,,,,,0x340000000021,,\\*\REMINST,11,\??\C:\RemoteInstall,20,0100048084000000940000000000000014000000020070000400000000031400FF011F0001010000000000051200000000031800FF011F000102000000000005200000002002000000031400A900120001010000000000050B00000000032800FF011F00010600000000000550000000EEB8A9641355D7C01EEA005250362135069D16DC01020000000000052000000020020000010500000000000515000000F5B0CF1512C8CDA9C5D939CF01020000,176,0xc0000022,0xc0000022,SCAFFOLD\j.harris,17,Smb2Namespace
2026-05-17T16:17:35.007846Z,551,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,48,2,0200A12EC0A864010000000000000000,16,\\192.168.100.1,15,4E065B01-E618-0000-9C64-064E18E6DC01,,,3,session setup failed before the SPN could be queried,0,4E065B01-E618-0001-0B66-064E18E6DC01,,0x340000000039,,,,,,,0xc0000193,0xc0000193,,0,Smb2Namespace
2026-05-17T16:18:46.321993Z,551,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,49,2,02008D28C0A864010000000000000000,16,\\192.168.100.1,15,4E065B01-E618-0000-C564-064E18E6DC01,,,3,session setup failed before the SPN could be queried,0,4E065B01-E618-0003-DF64-064E18E6DC01,,0x340000000041,,,,,,,0xc0000072,0xc0000072,,0,Smb2Namespace
2026-05-18T23:48:08.199219Z,1006,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,50,2,1700C27300000000FE80000000000000A8CE0F8D3CF2A7F50F000000,28,\\[fe80::a8ce:f8d:3cf2:a7f5],28,,0x0,0x100080,,,,,0x480000000009,,\\*\Ready,9,\??\C:\Software\Packages\Ready,30,010004804000000050000000000000001400000002002C000100000000002400FF011F00010500000000000515000000F5B0CF1512C8CDA9C5D939CF0302000001020000000000052000000020020000010500000000000515000000F5B0CF1512C8CDA9C5D939CF01020000,108,0xc0000022,0xc0000022,SCAFFOLD\Administrator,22,Smb2Namespace
2026-05-18T23:48:08.199619Z,1006,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,51,2,1700C27300000000FE80000000000000A8CE0F8D3CF2A7F50F000000,28,\\[fe80::a8ce:f8d:3cf2:a7f5],28,,0x0,0x100080,,,,,0x480000000009,,\\*\Ready,9,\??\C:\Software\Packages\Ready,30,010004804000000050000000000000001400000002002C000100000000002400FF011F00010500000000000515000000F5B0CF1512C8CDA9C5D939CF0302000001020000000000052000000020020000010500000000000515000000F5B0CF1512C8CDA9C5D939CF01020000,108,0xc0000022,0xc0000022,SCAFFOLD\Administrator,22,Smb2Namespace
2026-05-22T14:26:30.983361Z,1015,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,52,2,0200C632C0A8640100000000000000000000FFFFC0A864010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,128,\\192.168.100.1,30,,,,,,,,0x0,,,,,,,,0xc0000203,0xc0000203,,,Smb2Namespace
2026-05-23T14:26:48.133949Z,551,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,53,2,0200EC58C0A864010000000000000000,16,\\192.168.100.1,15,91DCB5B4-EAB8-0000-F607-DD91B8EADC01,,,3,session setup failed before the SPN could be queried,0,91DCB5B4-EAB8-0003-CB47-DD91B8EADC01,,0x5c0000000039,,,,,,,0xc000006d,0xc000006d,,0,Smb2Namespace
2026-05-24T14:55:43.543244Z,551,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,54,2,0200B670C0A864010000000000000000,16,\\192.168.100.1,15,AE0DB03A-EB8B-0000-21C4-0DAE8BEBDC01,,,3,session setup failed before the SPN could be queried,0,AE0DB03A-EB8B-0003-D7C2-0DAE8BEBDC01,,0x740000000011,,,,,,,0xc000006d,0xc000006d,,0,Smb2Namespace
2026-05-24T14:55:55.701196Z,551,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,55,2,0200DCD4C0A864010000000000000000,16,\\192.168.100.1,15,AE0DB03A-EB8B-0000-25C4-0DAE8BEBDC01,,,3,session setup failed before the SPN could be queried,0,AE0DB03A-EB8B-0002-A6C1-0DAE8BEBDC01,,0x740000000019,,,,,,,0xc000006d,0xc000006d,,0,Smb2Namespace
2026-05-24T14:56:04.379399Z,551,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,56,2,0200870CC0A864010000000000000000,16,\\192.168.100.1,15,AE0DB03A-EB8B-0000-27C4-0DAE8BEBDC01,,,3,session setup failed before the SPN could be queried,0,AE0DB03A-EB8B-0002-AAC1-0DAE8BEBDC01,,0x740000000021,,,,,,,0xc000006d,0xc000006d,,0,Smb2Namespace
2026-05-24T14:56:11.992792Z,551,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,57,2,0200C784C0A864010000000000000000,16,\\192.168.100.1,15,AE0DB03A-EB8B-0000-29C4-0DAE8BEBDC01,,,3,session setup failed before the SPN could be queried,0,AE0DB03A-EB8B-0002-ADC1-0DAE8BEBDC01,,0x740000000029,,,,,,,0xc000006d,0xc000006d,,0,Smb2Namespace
2026-05-24T16:22:55.416594Z,1006,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,58,2,1700C38800000000FE8000000000000059835DEECFFC19FA10000000,28,\\[fe80::5983:5dee:cffc:19fa],29,,0x0,0x100080,,,,,0x780004000015,,\\*\Ready,9,\??\C:\Software\Packages\Ready,30,010004804000000050000000000000001400000002002C000100000000002400FF011F00010500000000000515000000F5B0CF1512C8CDA9C5D939CF0302000001020000000000052000000020020000010500000000000515000000F5B0CF1512C8CDA9C5D939CF01020000,108,0xc0000022,0xc0000022,SCAFFOLD\Administrator,22,Smb2Namespace
2026-05-24T16:22:55.418050Z,1006,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,59,2,1700C38800000000FE8000000000000059835DEECFFC19FA10000000,28,\\[fe80::5983:5dee:cffc:19fa],29,,0x0,0x100080,,,,,0x780004000015,,\\*\Ready,9,\??\C:\Software\Packages\Ready,30,010004804000000050000000000000001400000002002C000100000000002400FF011F00010500000000000515000000F5B0CF1512C8CDA9C5D939CF0302000001020000000000052000000020020000010500000000000515000000F5B0CF1512C8CDA9C5D939CF01020000,108,0xc0000022,0xc0000022,SCAFFOLD\Administrator,22,Smb2Namespace
2026-05-24T16:23:07.742001Z,1006,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,60,2,1700C38A00000000FE8000000000000059835DEECFFC19FA10000000,28,\\[fe80::5983:5dee:cffc:19fa],29,,0x0,0x100080,,,,,0x780004000019,,\\*\Ready,9,\??\C:\Software\Packages\Ready,30,010004804000000050000000000000001400000002002C000100000000002400FF011F00010500000000000515000000F5B0CF1512C8CDA9C5D939CF0302000001020000000000052000000020020000010500000000000515000000F5B0CF1512C8CDA9C5D939CF01020000,108,0xc0000022,0xc0000022,SCAFFOLD\Administrator,22,Smb2Namespace
2026-05-25T14:44:52.488494Z,551,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,61,2,0200CB4CC0A864010000000000000000,16,\\192.168.100.1,15,669A56E9-EC54-0000-4A65-9A6654ECDC01,,,3,session setup failed before the SPN could be queried,0,669A56E9-EC54-0002-6C60-9A6654ECDC01,,0x80000000000d,,,,,,,0xc000006d,0xc000006d,,0,Smb2Namespace
2026-05-25T14:45:52.246660Z,551,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,62,2,0200B30EC0A864010000000000000000,16,\\192.168.100.1,15,669A56E9-EC54-0000-D965-9A6654ECDC01,,,3,session setup failed before the SPN could be queried,0,669A56E9-EC54-0002-9360-9A6654ECDC01,,0x80000000001d,,,,,,,0xc000006d,0xc000006d,,0,Smb2Namespace
2026-05-25T14:46:17.898466Z,551,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,63,2,0200ACB2C0A864010000000000000000,16,\\192.168.100.1,15,669A56E9-EC54-0000-FA65-9A6654ECDC01,,,3,session setup failed before the SPN could be queried,0,669A56E9-EC54-0000-FB65-9A6654ECDC01,,0x80000000002d,,,,,,,0xc000006d,0xc000006d,,0,Smb2Namespace
2026-09-20T11:25:05.700538Z,1006,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,64,2,0200C3820A0A11790000000000000000,16,\\10.10.17.121,14,,0x0,0x81,,,,,0xe80000000015,,\\*\DeploymentShare$,20,\??\Y:\DeploymentShare,22,0100048034000000440000000000000014000000020020000100000000031800FF011F000102000000000005200000002002000001020000000000052000000020020000010500000000000515000000F5B0CF1512C8CDA9C5D939CF01020000,96,0xc0000022,0xc0000022,SCAFFOLD\j.harris,17,Smb2Namespace
2026-09-20T11:25:05.868537Z,1006,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,65,2,0200C3820A0A11790000000000000000,16,\\10.10.17.121,14,,0x0,0x1f01ff,,,,,0xe80000000015,,\\*\DeploymentShare$,20,\??\Y:\DeploymentShare,22,0100048034000000440000000000000014000000020020000100000000031800FF011F000102000000000005200000002002000001020000000000052000000020020000010500000000000515000000F5B0CF1512C8CDA9C5D939CF01020000,96,0xc0000022,0xc0000022,SCAFFOLD\j.harris,17,Smb2Namespace
2026-09-20T11:25:06.039539Z,1006,dc.scaffold.htb,Microsoft-Windows-SMBServer,Microsoft-Windows-SMBServer/Security,66,2,0200C3820A0A11790000000000000000,16,\\10.10.17.121,14,,0x0,0x2,,,,,0xe80000000015,,\\*\DeploymentShare$,20,\??\Y:\DeploymentShare,22,0100048034000000440000000000000014000000020020000100000000031800FF011F000102000000000005200000002002000001020000000000052000000020020000010500000000000515000000F5B0CF1512C8CDA9C5D939CF01020000,96,0xc0000022,0xc0000022,SCAFFOLD\j.harris,17,Smb2Namespace
