TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,Action,CertificateDetails_EKUs_EKU_1_attributes_Name,CertificateDetails_EKUs_EKU_1_attributes_OID,CertificateDetails_EKUs_EKU_2_attributes_Name,CertificateDetails_EKUs_EKU_2_attributes_OID,CertificateDetails_EKUs_EKU_3_attributes_Name,CertificateDetails_EKUs_EKU_3_attributes_OID,CertificateDetails_EKUs_EKU_attributes_Name,CertificateDetails_EKUs_EKU_attributes_OID,CertificateDetails_NotValidAfter,CertificateDetails_SubjectNames_SubjectName,CertificateDetails_SubjectNames_SubjectName_1,CertificateDetails_SubjectNames_SubjectName_2,CertificateDetails_Template_attributes_Name,CertificateDetails_Template_attributes_OID,CertificateDetails_attributes_Thumbprint,attributes_AccountName,attributes_Context,attributes_ProcessName
2026-05-13T14:51:50.376124Z,1006,dc.scaffold.htb,Microsoft-Windows-CertificateServicesClient-Lifecycle-System,Microsoft-Windows-CertificateServicesClient-Lifecycle-System/Operational,1,4,Enroll,Server Authentication,1.3.6.1.5.5.7.3.1,,,,,Client Authentication,1.3.6.1.5.5.7.3.2,2027-05-13T14:41:50Z,CN=dc.scaffold.htb,ac0cff60-3311-4eea-a363-28a537441aa6,dc.scaffold.htb,DomainController,,179729b4d2bb833617f52709dec077d12404674e,SCAFFOLD\DC$,Machine,taskhostw.exe
2026-09-02T00:02:02.263267Z,1006,dc.scaffold.htb,Microsoft-Windows-CertificateServicesClient-Lifecycle-System,Microsoft-Windows-CertificateServicesClient-Lifecycle-System/Operational,2,4,Enroll,Server Authentication,1.3.6.1.5.5.7.3.1,Smart Card Logon,1.3.6.1.4.1.311.20.2.2,KDC Authentication,1.3.6.1.5.2.3.5,Client Authentication,1.3.6.1.5.5.7.3.2,2106-09-01T23:51:52Z,dc.scaffold.htb,scaffold.htb,SCAFFOLD,KerberosAuthentication,1.3.6.1.4.1.311.21.8.15477599.2044828.5325961.529808.10084852.86.1.33,72aaaef2ce929765e11ef6a0ec8c5ee08b4970e2,SCAFFOLD\Administrator,Machine,powershell.exe
