"No.","Time","Source","Destination","Protocol","Length","Info"
"10053","105.608874","fe80::2068:fe84:5fc8:efb7","fe80::7994:1860:711:c243","SMB2","412","Session Setup Response, Error: STATUS_MORE_PROCESSING_REQUIRED, NTLMSSP_CHALLENGE"
"10054","105.609468","fe80::7994:1860:711:c243","fe80::2068:fe84:5fc8:efb7","SMB2","717","Session Setup Request, NTLMSSP_AUTH, User: FORELA\\john.deacon"
"10055","105.610874","fe80::2068:fe84:5fc8:efb7","fe80::7994:1860:711:c243","SMB2","150","Session Setup Response, Error: STATUS_ACCESS_DENIED"
"10056","105.611564","fe80::7994:1860:711:c243","fe80::2068:fe84:5fc8:efb7","TCP","74","51942  >  445 [RST, ACK] Seq=1050 Ack=655 Win=0 Len=0"
"10527","144.053847","172.17.79.135","172.17.79.129","MDNS","91","Standard query response 0x0000 A 172.17.79.135"
"10529","144.054548","fe80::2068:fe84:5fc8:efb7","fe80::3340:25bd:64b:dcf3","LLMNR","126","Standard query response 0x77ea A Forela-Wkstn001 A 172.17.79.135"
"10530","144.056537","fe80::2068:fe84:5fc8:efb7","fe80::3340:25bd:64b:dcf3","MDNS","111","Standard query response 0x0000 A 172.17.79.135"
"10533","144.061274","172.17.79.135","172.17.79.129","LLMNR","106","Standard query response 0x77ea A Forela-Wkstn001 A 172.17.79.135"
"10569","149.240598","fe80::2068:fe84:5fc8:efb7","fe80::3340:25bd:64b:dcf3","ICMPv6","86","Neighbor Solicitation for fe80::3340:25bd:64b:dcf3 from 00:0c:29:36:18:82"
"10571","149.240910","fe80::3340:25bd:64b:dcf3","fe80::2068:fe84:5fc8:efb7","ICMPv6","86","Neighbor Advertisement fe80::3340:25bd:64b:dcf3 (sol, ovr) is at 00:0c:29:9e:0d:ac"
"10598","154.021268","fe80::3340:25bd:64b:dcf3","fe80::2068:fe84:5fc8:efb7","ICMPv6","86","Neighbor Solicitation for fe80::2068:fe84:5fc8:efb7 from 00:0c:29:9e:0d:ac"
"10599","154.021500","fe80::2068:fe84:5fc8:efb7","fe80::3340:25bd:64b:dcf3","ICMPv6","78","Neighbor Advertisement fe80::2068:fe84:5fc8:efb7 (sol)"
"11684","309.003405","172.17.79.135","172.17.79.136","MDNS","91","Standard query response 0x0000 A 172.17.79.135"
"11691","309.004576","fe80::2068:fe84:5fc8:efb7","fe80::7994:1860:711:c243","MDNS","111","Standard query response 0x0000 A 172.17.79.135"
"11692","309.006406","fe80::2068:fe84:5fc8:efb7","fe80::7994:1860:711:c243","LLMNR","126","Standard query response 0x8e9a A Forela-Wkstn002 A 172.17.79.135"
"11694","309.007632","172.17.79.135","172.17.79.136","LLMNR","106","Standard query response 0x8e9a A Forela-Wkstn002 A 172.17.79.135"
"11711","314.104021","fe80::2068:fe84:5fc8:efb7","fe80::7994:1860:711:c243","ICMPv6","86","Neighbor Solicitation for fe80::7994:1860:711:c243 from 00:0c:29:36:18:82"
"11713","314.104366","fe80::7994:1860:711:c243","fe80::2068:fe84:5fc8:efb7","ICMPv6","86","Neighbor Advertisement fe80::7994:1860:711:c243 (sol, ovr) is at 00:0c:29:85:78:cb"
"11765","318.759538","fe80::7994:1860:711:c243","fe80::2068:fe84:5fc8:efb7","ICMPv6","86","Neighbor Solicitation for fe80::2068:fe84:5fc8:efb7 from 00:0c:29:85:78:cb"
"11766","318.759733","fe80::2068:fe84:5fc8:efb7","fe80::7994:1860:711:c243","ICMPv6","78","Neighbor Advertisement fe80::2068:fe84:5fc8:efb7 (sol)"
"12714","635.466361","172.17.79.135","172.17.79.254","DHCP","324","DHCP Request  - Transaction ID 0x481fced6"
"12715","635.466361","172.17.79.254","172.17.79.135","DHCP","342","DHCP ACK      - Transaction ID 0x481fced6"
"12769","676.829542","172.17.79.135","172.17.79.136","TCP","74","34252  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494701938 TSecr=0 WS=128"
"12770","677.849744","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 34252  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494702958 TSecr=0 WS=128"
"12774","678.873807","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 34252  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494703982 TSecr=0 WS=128"
"12779","679.897924","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 34252  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494705006 TSecr=0 WS=128"
"12784","680.921966","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 34252  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494706030 TSecr=0 WS=128"
"12787","681.945909","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 34252  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494707054 TSecr=0 WS=128"
"12794","683.961875","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 34252  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494709070 TSecr=0 WS=128"
"12806","688.122131","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 34252  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494713230 TSecr=0 WS=128"
"12880","696.313951","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 34252  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494721422 TSecr=0 WS=128"
"12951","735.559726","172.17.79.135","172.17.79.136","TCP","74","39452  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494760667 TSecr=0 WS=128"
"12952","736.570694","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 39452  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494761678 TSecr=0 WS=128"
"12953","737.594995","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 39452  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494762702 TSecr=0 WS=128"
"12955","738.618776","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 39452  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494763726 TSecr=0 WS=128"
"12965","739.642817","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 39452  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494764750 TSecr=0 WS=128"
"12971","740.666953","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 39452  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494765774 TSecr=0 WS=128"
"12974","742.682794","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 39452  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494767790 TSecr=0 WS=128"
"12979","746.747316","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 39452  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494771854 TSecr=0 WS=128"
"12990","754.939265","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 39452  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494780046 TSecr=0 WS=128"
"16960","935.339191","172.17.79.135","172.17.79.136","TCP","74","43138  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494960443 TSecr=0 WS=128"
"16961","936.350643","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 43138  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494961454 TSecr=0 WS=128"
"16962","937.374660","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 43138  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494962478 TSecr=0 WS=128"
"16974","938.402333","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 43138  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494963506 TSecr=0 WS=128"
"16998","939.422507","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 43138  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494964526 TSecr=0 WS=128"
"17001","940.446620","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 43138  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494965550 TSecr=0 WS=128"
"17019","942.462401","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 43138  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494967566 TSecr=0 WS=128"
"17022","946.686372","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 43138  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494971790 TSecr=0 WS=128"
"17041","954.878805","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 43138  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=494979982 TSecr=0 WS=128"
"17059","967.433316","fe80::2068:fe84:5fc8:efb7","ff02::2","ICMPv6","62","Router Solicitation"
"17137","1026.872857","172.17.79.135","172.17.79.136","TCP","74","34546  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=495051975 TSecr=0 WS=128"
"17138","1027.904219","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 34546  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=495053006 TSecr=0 WS=128"
"17139","1028.928226","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 34546  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=495054030 TSecr=0 WS=128"
"17141","1029.952252","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 34546  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=495055054 TSecr=0 WS=128"
"17143","1030.976282","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 34546  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=495056078 TSecr=0 WS=128"
"17149","1032.000528","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 34546  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=495057102 TSecr=0 WS=128"
"17155","1034.016407","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 34546  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=495059118 TSecr=0 WS=128"
"17156","1038.080710","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 34546  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=495063182 TSecr=0 WS=128"
"17202","1044.092341","172.17.79.135","172.17.79.129","MDNS","91","Standard query response 0x0000 A 172.17.79.135"
